L;Transfer_cnt;English transcription;Russian Cyrillic;Transfer;Opened;Type
5;1;Komsomolskaya;Комсомольская;;30.01.1952;column, triple-vault
5;2;Kurskaya;Курская;;01.01.1950;column, triple-vault
5;2;Taganskaya;Таганская;;01.01.1950;pylon, triple-vault
5;1;Paveletskaya;Павелецкая;;01.01.1950;pylon, triple-vault
5;1;Dobryninskaya;Добрынинская;;01.01.1950;pylon, triple-vault
5;1;Oktyabrskaya;Октябрьская;;01.01.1950;pylon, triple-vault
5;1;Park Kultury;Парк культуры;;01.01.1950;pylon, triple-vault
6;;Medvedkovo;Медведково;;30.09.1978;column, triple-span
6;;Babushkinskaya;Бабушкинская;;30.09.1978;single-vault, shallow
6;;Sviblovo;Свиблово;;30.09.1978;column, triple-span
6;1;Botanichesky Sad;Ботанический сад;<>;30.09.1978;column, triple-span
6;1;VDNKh;ВДНХ;<>;01.05.1958;pylon, triple-vault
6;;Alekseyevskaya;Алексеевская;;01.05.1958;pylon, triple-vault
6;;Rizhskaya;Рижская;;01.05.1958;pylon, triple-vault
6;1;Prospekt Mira;Проспект Мира;;01.05.1958;pylon, triple-vault
6;;Sukharevskaya;Сухаревская;;05.01.1972;pylon, triple-vault
6;2;Turgenevskaya;Тургеневская;;05.01.1972;pylon, triple-vault
6;1;Kitay-gorod;Китай-город;[];03.01.1971;column, triple-vault
6;2;Tretyakovskaya;Третьяковская;[] ;03.01.1971;pylon, triple-vault
6;1;Oktyabrskaya;Октябрьская;;13.10.1962;pylon, triple-vault
6;;Shabolovskaya;Шаболовская;;06.11.1980;pylon, triple-vault
6;1;Leninsky Prospekt;Ленинский проспект;{};13.10.1962;column, triple-span
6;;Akademicheskaya;Академическая;;13.10.1962;column, triple-span
6;;Profsoyuznaya;Профсоюзная;;13.10.1962;column, triple-span
6;;Novye Cheryomushki;Новые Черёмушки;;13.10.1962;column, triple-span
6;;Kaluzhskaya;Калужская;;12.08.1974;column, triple-span
6;;Belyayevo;Беляево;;12.08.1974;column, triple-span
6;;Konkovo;Коньково;;06.11.1987;single-vault, shallow
